id,collection_id,material_id,denomination_id,condition,year_created,length,width,description,link,numeric_value,extra_year,units
56181d46-dc31-4344-9419-1bf71363860b,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,08c0f8ac-ee32-459a-bed3-39f05ee86b32,VERY_GOOD,1945,166,91,,https://en.numista.com/catalogue/note206915.html,5000,,1
224db764-dfd5-4d6e-a5dc-85d2e87e2cfc,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,433274c2-725d-4629-9f35-2de2951b2592,VERY_GOOD,1978,131,63,,https://en.numista.com/catalogue/note202011.html,10,,1
fa5b1abe-8e0d-474f-b8c2-e1d0f2278148,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,433274c2-725d-4629-9f35-2de2951b2592,VERY_GOOD,1978,140,66,,https://en.numista.com/catalogue/note203458.html,50,,1
92415ea8-6da9-42c4-b9f8-9557840f43dc,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,433274c2-725d-4629-9f35-2de2951b2592,VERY_GOOD,1986,148,70,,https://en.numista.com/catalogue/note206237.html,100,,2
f20a9dd8-2e0e-42b4-bf39-1c2a0b8deea2,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,433274c2-725d-4629-9f35-2de2951b2592,VERY_GOOD,1970,155,74,,https://en.numista.com/catalogue/note205329.html,500,,1
51e2222f-1e42-43e4-9a99-6d451cc4716c,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,433274c2-725d-4629-9f35-2de2951b2592,VERY_GOOD,1990,139,66,,https://en.numista.com/catalogue/note206188.html,10,,1
d99b0d2c-b2a7-4325-b13c-25b60cad701e,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,433274c2-725d-4629-9f35-2de2951b2592,VERY_GOOD,1990,147,70,,https://en.numista.com/catalogue/note204353.html,50,,1
7d8e9ab7-be5f-4e1d-8d3d-e9068cc4ff51,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,433274c2-725d-4629-9f35-2de2951b2592,VERY_GOOD,1985,165,75,,https://en.numista.com/catalogue/note204493.html,5000,,1
9fed523c-1738-48a6-8ccf-36cfe3e098ad,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,433274c2-725d-4629-9f35-2de2951b2592,VERY_GOOD,1987,169,77,,https://en.numista.com/catalogue/note205427.html,20000,,3
f87e925a-6cdb-4c35-b0c5-dccae2930513,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,3f4aabf6-6d54-435d-9fd2-3d47a47f7561,VERY_GOOD,1961,105,53,deteriorata rau,https://en.numista.com/catalogue/note204573.html,1,,1
