id,collection_id,material_id,denomination_id,condition,year_created,diameter,description,link,numeric_value,extra_year,units,weight,thickness
b07c9a8f-a537-4ee0-a4f7-b036f7d6783b,5d48ccb9-98e2-439d-a47d-e4acb59c9f47,577f19a6-0e57-4ffb-a9f7-611b66bb15eb,8f3e1c7a-2b55-4d9f-8c1e-7a4d3f9b2e10,VERY_GOOD,1993,23,,https://ro.ucoin.net/coin/czech_republic-5-korun-1993-2021/?tid=3326,5,,2,4.7999999999999998,1.8500000000000001
dae1a570-f2c8-40ee-bd50-8b416a113fbc,5d48ccb9-98e2-439d-a47d-e4acb59c9f47,577f19a6-0e57-4ffb-a9f7-611b66bb15eb,8f3e1c7a-2b55-4d9f-8c1e-7a4d3f9b2e10,VERY_GOOD,2002,20,,https://ro.ucoin.net/coin/czech_republic-1-koruna-1993-2021/?tid=3293,1,(1994-2019),8,3.6000000000000001,1.8500000000000001
53153378-90d0-492a-9df4-c5a3bcfe0079,5d48ccb9-98e2-439d-a47d-e4acb59c9f47,577f19a6-0e57-4ffb-a9f7-611b66bb15eb,2a1f9c3e-4b22-4d8f-9c1e-8e3d7b4f5c40,VERY_GOOD,2015,18,,https://ro.ucoin.net/coin/united_kingdom-5-pence-2015-2021/?tid=45472,5,2017,2,3.25,1.7
9dddcfff-bbf7-468e-abc1-03da886f3fe3,5d48ccb9-98e2-439d-a47d-e4acb59c9f47,d1d5b5ad-1892-4191-ae81-c8298d4eb6ba,b5e498c1-35b7-4785-a05a-3a02b01d6ea5,VERY_GOOD,2002,25.75,"semn monetarie ""F""",https://ro.ucoin.net/coin/germany-2-euro-2002-2006/?tid=200,2,,1,8.5,2.2000000000000002
0439208d-2a04-47c3-8b22-ab97d69dedc1,5d48ccb9-98e2-439d-a47d-e4acb59c9f47,1c378483-96de-4276-b2cd-6dcefee47897,3f7a1c9e-4b22-4e8f-9d1a-8c4e7b3f2a23,VERY_GOOD,1984,26.800000000000001,usor murdara,https://ro.ucoin.net/coin/hungary-20-forint-1984/?cid=3079,20,,1,7.0499999999999998,1.8
78f2e252-ab69-46e0-a74f-4c8ea8ca1b6a,5d48ccb9-98e2-439d-a47d-e4acb59c9f47,7e530cb3-d7d1-40b8-8aab-173481cf1feb,6d9f3e1a-3b55-4c8f-9d1e-8c2a7f4b5e26,VERY_GOOD,2008,15.5,una e murdara rau (mai ales intr-un colt),https://ro.ucoin.net/coin/poland-1-grosz-1990-2014/?tid=8283,1,,2,1.6399999999999999,1.2
c8c87a94-69d3-4c1b-b772-e4c5ca7fb86d,5d48ccb9-98e2-439d-a47d-e4acb59c9f47,e969bd11-8079-4df9-8f13-8546ca042923,8f3e1c7a-2b55-4d9f-8c1e-7a4d3f9b2e10,VERY_GOOD,2015,26,murdarele,https://ro.ucoin.net/coin/czech_republic-20-korun-1993-2021/?tid=3387,20,,4,8.4299999999999997,2.5499999999999998
90552f10-6e3d-4663-b626-de066ee9a522,5d48ccb9-98e2-439d-a47d-e4acb59c9f47,1c378483-96de-4276-b2cd-6dcefee47897,466aa670-46d7-43f8-81eb-fdab48e6c1b9,VERY_GOOD,1975,23.199999999999999,,https://ro.ucoin.net/coin/switzerland-1-franc-1968-2021/?tid=1105,1,,3,4.4000000000000004,1.55
e8fcd8ff-da52-4890-9770-1a34d6bb8a41,5d48ccb9-98e2-439d-a47d-e4acb59c9f47,e78b342c-29c1-4407-be38-860adbc885bd,8f3e1c7a-2b55-4d9f-8c1e-7a4d3f9b2e10,VERY_GOOD,2007,23.350000000000001,,https://ro.ucoin.net/coin/denmark-10-kroner-2007/?tid=8983,10,,1,7,2.2999999999999998
84dffb24-f9a2-4833-9ee4-a4ce82a2d245,5d48ccb9-98e2-439d-a47d-e4acb59c9f47,8734e197-5655-422b-968e-f02b792c9d32,1d7e3c9f-4b22-4d8f-9c1a-5e8b7d3f2c21,VERY_GOOD,1982,20.399999999999999,usor murdara x2,https://ro.ucoin.net/coin/hungary-20-filler-1967-1989/?tid=2930,20,,2,0.90000000000000002,1.3999999999999999
